"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"ALAS2",10.2368,11.1992,9.6613,10.6657,11.0273
"ALDH6A1",4.92141,4.97367,5.06272,5.20431,5.15706
"ALDOB",2.94953,2.73972,3.09911,2.6469,2.88554
"ALG1L",3.65978,4.09993,3.96215,3.71635,3.88686
"ALMS1",6.04906,5.54673,5.78644,6.03306,5.86436
"ALMS1-IT1",4.26046,4.19279,4.25671,4.54307,4.1064
"ALMS1P1",5.09296,4.83101,5.16676,5.13357,4.77694
"ALS2",5.47201,5.06106,4.98632,4.98486,5.24382
"AMBRA1",6.51759,6.39515,6.34984,6.32765,6.47924
"AMMECR1",5.23925,5.25947,5.10741,5.43719,5.1666
"AMMECR1-IT1",2.41418,2.57614,2.24928,2.68639,2.9423
"AMN",4.31007,4.82883,4.6172,4.69533,4.96377
"AMOT",3.93273,3.53891,3.41608,3.82074,4.21623
"AMOTL2",4.27478,4.18839,4.26401,4.36115,4.43602
"AMY1A",5.21015,5.24903,5.35551333333333,5.29537666666667,5.12789333333333
"AMY1B",5.21015,5.24903,5.35551333333333,5.29537666666667,5.12789333333333
"AMY1C",5.21015,5.24903,5.35551333333333,5.29537666666667,5.12789333333333
"AMY2A",4.12643333333333,4.35442,4.59796666666667,4.1206,4.23164333333333
"AMYP1",1.75571,2.37487,2.8408,1.58934,2.24683
"ANAPC13",5.57052,5.72449,5.83246,5.49841,5.61805
"ANAPC16",6.91919,6.73083,7.01818,6.84651,6.92882
"ANAPC7",6.01699,5.92079,5.9032,5.87882,6.06903
"ANGPTL5",1.33633,1.87315,1.59297,1.79109,1.58934
"ANKFN1",2.51542,2.57176,2.86082,2.5674,2.88313
"ANKRD12",7.99513,8.10159,8.02986,8.14415,7.80262
"ANKRD13A",8.9754,8.84665,9.0513,8.72814,8.75379
"ANKRD19P",4.10352,4.26231,4.60672,4.62031,4.56723
"ANKRD20A10P",3.22673,3.2119,3.18978,3.25547,3.31517
